metric,src_layer,tgt_layer,sdc_group,task_count,macro_mean_value,task_std_value
abs_std_diff,15,16,significant_sdc,9,7.084302599087967e+29,1.0232167227850101e+30
abs_std_diff,16,17,non_sdc,9,0.043943214246526106,0.012585517081373473
abs_std_diff,16,17,non_significant_sdc,9,0.044348375710886824,0.016128666625762685
abs_std_diff,16,17,significant_sdc,9,2.739012431677391e+30,5.456370125221777e+30
abs_std_diff,17,18,non_sdc,9,0.05158880068951408,0.018518216947087572
abs_std_diff,17,18,non_significant_sdc,9,0.056719337315165395,0.015413676883731717
abs_std_diff,17,18,significant_sdc,9,2.5797201442852777e+30,3.270899536903072e+30
abs_std_diff,18,19,non_sdc,9,0.06625779823544042,0.02136169147909271
abs_std_diff,18,19,non_significant_sdc,9,0.06738569578935032,0.02239352471557499
abs_std_diff,18,19,significant_sdc,9,2.396069873954154e+30,4.321500989230573e+30
abs_std_diff,19,20,non_sdc,9,0.05917921450094299,0.030262008467293853
abs_std_diff,19,20,non_significant_sdc,9,0.06363933328631316,0.028804792278235045
abs_std_diff,19,20,significant_sdc,9,1.2915669895454472e+30,2.716091261194308e+30
abs_std_diff,20,21,non_sdc,9,0.11041670759755821,0.057710293368513695
abs_std_diff,20,21,non_significant_sdc,9,0.10415386194658686,0.06237217830081924
abs_std_diff,20,21,significant_sdc,9,1.2793288195211334e+31,3.7027703187120563e+31
abs_std_diff,21,22,non_sdc,9,0.08772901478833217,0.05214793374882964
abs_std_diff,21,22,non_significant_sdc,9,0.0843418500305897,0.04475224992171121
abs_std_diff,21,22,significant_sdc,9,3.593864547765913e+30,5.981447376790347e+30
abs_std_diff,22,23,non_sdc,9,0.10855945216891727,0.05424593863829181
abs_std_diff,22,23,non_significant_sdc,9,0.11333433327402055,0.05523036946214603
abs_std_diff,22,23,significant_sdc,9,3.075658706819748e+30,4.688300740154718e+30
abs_std_diff,23,24,non_sdc,9,0.10295771105410023,0.0560779761127988
abs_std_diff,23,24,non_significant_sdc,9,0.10325884756182117,0.05610730684157902
abs_std_diff,23,24,significant_sdc,9,2.3022324792133943e+31,5.069243853723502e+31
abs_std_diff,24,25,non_sdc,9,0.1317115754464011,0.059403348297512384
abs_std_diff,24,25,non_significant_sdc,9,0.1366262229000681,0.057457894038480437
abs_std_diff,24,25,significant_sdc,9,1.6067399613260875e+29,3.1306175144439754e+29
abs_std_diff,25,26,non_sdc,9,0.13087170396343983,0.08648782259269079
abs_std_diff,25,26,non_significant_sdc,9,0.12872592717041093,0.08119622014668222
abs_std_diff,25,26,significant_sdc,9,4.879980465516328e+30,1.0515305048207047e+31
abs_std_diff,26,27,non_sdc,9,0.22126871472634305,0.15955349570839886
abs_std_diff,26,27,non_significant_sdc,9,0.23852557493249846,0.16143894156634386
abs_std_diff,26,27,significant_sdc,9,2.4030741429415526e+30,6.888158695323076e+30
abs_std_diff,27,28,non_sdc,3,0.04217500712021257,0.008844312781929547
abs_std_diff,27,28,non_significant_sdc,3,0.050450708891738756,0.010779187522087397
abs_std_diff,27,28,significant_sdc,3,0.07590571477787966,0.04081106656533378
abs_std_diff,28,29,non_sdc,3,0.037323720399617615,0.007441469106724663
abs_std_diff,28,29,non_significant_sdc,3,0.04232591726292476,0.010205248800929975
abs_std_diff,28,29,significant_sdc,3,0.06760416186292588,0.020722963302298926
abs_std_diff,29,30,non_sdc,3,0.055316356416234974,0.0066280426024007385
abs_std_diff,29,30,non_significant_sdc,3,0.05149662129581515,0.00554761858868184
abs_std_diff,29,30,significant_sdc,3,0.08291929371833502,0.012346913771765255
abs_std_diff,30,31,non_sdc,3,0.03209185549144447,0.0034579070426799413
abs_std_diff,30,31,non_significant_sdc,3,0.05833855720299281,0.02020100540412462
abs_std_diff,30,31,significant_sdc,3,0.11685134748669897,0.06242213207300151
cos_sim,0,1,non_sdc,9,0.8432524449224447,0.062055047357744295
cos_sim,0,1,non_significant_sdc,9,0.8364169682065912,0.06465996842346297
cos_sim,0,1,significant_sdc,9,0.2944517505882556,0.06871329474969448
cos_sim,1,2,non_sdc,9,0.8114173080932361,0.07396556983005861
cos_sim,1,2,non_significant_sdc,9,0.7960975853412396,0.07608955809554332
cos_sim,1,2,significant_sdc,9,0.20062096158710505,0.10153965045422338
cos_sim,2,3,non_sdc,9,0.7789057045934735,0.11336353610557197
cos_sim,2,3,non_significant_sdc,9,0.7551043324199666,0.10532345460649922
cos_sim,2,3,significant_sdc,9,0.32009124334541084,0.1477698548845677
cos_sim,3,4,non_sdc,9,0.8248787425675731,0.08483982108593544
cos_sim,3,4,non_significant_sdc,9,0.8053885517308969,0.08024945972822511
cos_sim,3,4,significant_sdc,9,0.4679014698741832,0.07698453148839907
cos_sim,4,5,non_sdc,9,0.7944522649065098,0.07743730392961862
cos_sim,4,5,non_significant_sdc,9,0.7711584929913319,0.06964802409851269
cos_sim,4,5,significant_sdc,9,0.3820994169678109,0.12189824561208487
