job,model,dataset,metric,src_layer,tgt_layer,sdc_group,rows,semantic_groups,finite_rows,non_finite_rows,non_finite_rate,mean_value,median_value,std_value,q25_value,q75_value,mean_ci95_low,mean_ci95_high,evidence
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,cos_sim,10,11,non_sdc,5906,75,5906,0,0.0,0.7327965668095485,0.7381057590246201,0.07476602974713259,0.6809161911408107,0.7867738322207802,0.7170273899656769,0.7483915276974992,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,cos_sim,10,11,non_significant_sdc,1327,73,1327,0,0.0,0.719704140850897,0.7142051855723063,0.07315157061485773,0.6701399702578783,0.773211020231247,0.7018388097064194,0.7376998124847797,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,cos_sim,10,11,significant_sdc,264,59,184,80,0.303030303030303,0.2466781556888277,0.10007302395581287,0.32985013531795077,0.07161765849711943,0.6575195101045427,0.112175409205551,0.3546436758468448,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,cos_sim,11,12,non_sdc,5906,75,5906,0,0.0,0.7852450769646694,0.7912175783089228,0.05667713203922252,0.747167706489563,0.8291513413190842,0.7728967702144568,0.7970104605260111,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,cos_sim,11,12,non_significant_sdc,1327,73,1327,0,0.0,0.7727186938765581,0.7772421658039093,0.056429357202299774,0.7385373872518539,0.8151057594352298,0.7583512424475221,0.7866882234895052,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,cos_sim,11,12,significant_sdc,264,60,180,84,0.31818181818181823,0.3312545358742837,0.19331989954320752,0.3213812659803984,0.14982124678410436,0.7173886828952365,0.198266396048541,0.43295328189324883,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,cos_sim,12,13,non_sdc,5906,75,5906,0,0.0,0.8100552344252826,0.8167578535420554,0.054497259252637396,0.7799049574595232,0.8503189669414,0.7987165193270045,0.8206934713670487,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,cos_sim,12,13,non_significant_sdc,1327,73,1327,0,0.0,0.797207701939995,0.8066485737051282,0.05725066363991414,0.7575562030076981,0.8375055805708354,0.7826006365852448,0.8113792227123119,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,cos_sim,12,13,significant_sdc,264,59,173,91,0.3446969696969697,0.4304926575825065,0.3323727371741314,0.26553318370020496,0.19978346348721154,0.737089869521913,0.3196621509999272,0.5134756240957392,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,cos_sim,13,14,non_sdc,5906,75,5906,0,0.0,0.7930564302408989,0.802703645080328,0.0638397650667399,0.7596110573836735,0.8429386869072915,0.7790586856815052,0.8064049551103435,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,cos_sim,13,14,non_significant_sdc,1327,73,1327,0,0.0,0.7813655817237269,0.7875354707241058,0.05963580667893345,0.7466655444531214,0.8284715125763338,0.7677478897684438,0.7950021581611879,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,cos_sim,13,14,significant_sdc,264,58,168,96,0.36363636363636365,0.34675938001292556,0.33287138535584115,0.38349111767930705,0.2946091577866856,0.7060292832967308,0.200770278858019,0.45461022191114364,adequate
