job,model,dataset,configuration,ablation_family,removed_component,feature_count,cohort,selection_threshold,best_iteration,model_fit_rows,early_stopping_rows,threshold_calibration_rows,selection_validation_rows,strict_finite_reference_feature_count,support,pred_total,tp,fp,fn,tn,precision,recall,false_positive_rate,f1
internvl3_lingoqa,internvl3,lingoqa,without_cos_sim,metric,cos_sim,27,full,0.1294682472944259,595,22757,4069,5827,5827,36,324,370,319,51,5,5452,0.8621621621621621,0.984567901234568,0.0092676721788115,0.9193083573487032
internvl3_lingoqa,internvl3,lingoqa,without_cos_sim,metric,cos_sim,27,strict_finite,0.1294682472944259,595,22757,4069,5827,5596,36,93,139,88,51,5,5452,0.6330935251798561,0.946236559139785,0.0092676721788115,0.7586206896551724
internvl3_vqav2,internvl3,vqav2,without_cos_sim,metric,cos_sim,27,full,0.5079121589660645,3,22389,3796,6071,6086,36,344,337,323,14,21,5728,0.9584569732937686,0.938953488372093,0.0024381748519679,0.948604992657856
internvl3_vqav2,internvl3,vqav2,without_cos_sim,metric,cos_sim,27,strict_finite,0.5079121589660645,3,22389,3796,6071,5841,36,99,92,78,14,21,5728,0.8478260869565217,0.7878787878787878,0.0024381748519679,0.8167539267015707
llava15_earthvqa,llava15,earthvqa,without_cos_sim,metric,cos_sim,27,full,0.542056679725647,8,22878,4047,5786,5786,36,131,124,122,2,9,5653,0.9838709677419356,0.931297709923664,0.0003536693191865,0.9568627450980391
llava15_earthvqa,llava15,earthvqa,without_cos_sim,metric,cos_sim,27,strict_finite,0.542056679725647,8,22878,4047,5786,5669,36,14,7,5,2,9,5653,0.7142857142857143,0.3571428571428571,0.0003536693191865,0.4761904761904761
llava15_lingoqa,llava15,lingoqa,without_cos_sim,metric,cos_sim,27,full,0.7748519778251648,485,22762,4070,5830,5830,36,140,120,118,2,22,5688,0.9833333333333332,0.8428571428571429,0.0003514938488576,0.9076923076923076
llava15_lingoqa,llava15,lingoqa,without_cos_sim,metric,cos_sim,27,strict_finite,0.7748519778251648,485,22762,4070,5830,5719,36,29,9,7,2,22,5688,0.7777777777777778,0.2413793103448276,0.0003514938488576,0.3684210526315789
llava15_vqav2,llava15,vqav2,without_cos_sim,metric,cos_sim,27,full,0.4606084823608398,555,22394,3806,6071,6094,36,124,108,107,1,17,5969,0.9907407407407408,0.8629032258064516,0.0001675041876046,0.9224137931034484
llava15_vqav2,llava15,vqav2,without_cos_sim,metric,cos_sim,27,strict_finite,0.4606084823608398,555,22394,3806,6071,5993,36,23,7,6,1,17,5969,0.8571428571428571,0.2608695652173913,0.0001675041876046,0.4
qwen25_vl_earthvqa,qwen25_vl,earthvqa,without_cos_sim,metric,cos_sim,27,full,0.9599476456642152,580,22831,4041,5779,5772,36,169,159,159,0,10,5603,1.0,0.940828402366864,0.0,0.9695121951219512
qwen25_vl_earthvqa,qwen25_vl,earthvqa,without_cos_sim,metric,cos_sim,27,strict_finite,0.9599476456642152,580,22831,4041,5779,5659,36,56,46,46,0,10,5603,1.0,0.8214285714285714,0.0,0.9019607843137256
qwen25_vl_lingoqa,qwen25_vl,lingoqa,without_cos_sim,metric,cos_sim,27,full,0.622299075126648,801,22745,4067,5830,5824,36,179,167,143,24,36,5621,0.8562874251497006,0.7988826815642458,0.0042515500442869,0.8265895953757225
qwen25_vl_lingoqa,qwen25_vl,lingoqa,without_cos_sim,metric,cos_sim,27,strict_finite,0.622299075126648,801,22745,4067,5830,5732,36,87,75,51,24,36,5621,0.68,0.5862068965517241,0.0042515500442869,0.6296296296296297
qwen25_vl_vqav2,qwen25_vl,vqav2,without_cos_sim,metric,cos_sim,27,full,0.5303394794464111,107,22380,3802,6057,6084,36,190,148,137,11,53,5883,0.9256756756756755,0.7210526315789474,0.001866304716661,0.8106508875739645
qwen25_vl_vqav2,qwen25_vl,vqav2,without_cos_sim,metric,cos_sim,27,strict_finite,0.5303394794464111,107,22380,3802,6057,5993,36,99,57,46,11,53,5883,0.8070175438596491,0.4646464646464646,0.001866304716661,0.5897435897435898
internvl3_earthvqa,internvl3,earthvqa,without_l2_distance,metric,l2_distance,27,full,0.9876636862754822,759,22824,4039,5764,5773,36,311,293,293,0,18,5462,1.0,0.9421221864951768,0.0,0.9701986754966888
internvl3_earthvqa,internvl3,earthvqa,without_l2_distance,metric,l2_distance,27,strict_finite,0.9876636862754822,759,22824,4039,5764,5551,36,89,71,71,0,18,5462,1.0,0.797752808988764,0.0,0.8875
